1	0	0	107	116
1	0	1894	111	2047
1	2005	1924	2132	2047
1	2046	0	2166	122
1	3980	1906	4095	2047
1	3992	0	4095	131
2	0	0	95	135
2	0	1920	104	2047
2	2022	1903	2139	2047
2	2060	0	2195	143
2	3939	0	4095	141
2	3979	1922	4095	2047
3	0	0	128	129
3	0	1909	114	2047
3	2007	1929	2149	2047
3	2092	0	2211	110
3	3982	0	4095	123
3	4009	1923	4095	2047
4	0	0	101	125
4	0	1931	129	2047
4	1947	0	2086	125
4	1949	1909	2070	2047
4	3968	1915	4095	2047
4	3979	0	4095	138
5	0	0	104	127
5	0	1912	103	2047
5	2057	1927	2168	2047
5	2098	0	2222	129
5	3983	1922	4095	2047
5	4005	0	4095	120
6	0	0	105	114
6	0	1916	122	2047
6	1929	1915	2047	2047
6	2020	0	2150	128
6	3971	0	4095	131
6	3991	1910	4095	2047
7	0	0	110	134
7	0	1926	110	2047
7	1953	1901	2074	2047
7	2065	0	2189	126
7	3983	0	4095	130
7	3996	1922	4095	2047
8	0	0	153	142
8	0	1912	102	2047
8	1944	1919	2083	2047
8	2062	0	2191	140
8	3979	1912	4095	2047
8	3984	0	4095	125
9	0	0	70	133
9	0	1905	112	2047
9	2005	1912	2134	2047
9	1985	0	2113	127
9	3972	0	4095	164
9	3995	1916	4095	2047
10	0	0	102	133
10	0	1921	112	2047
10	1923	1921	2061	2047
10	1956	0	2095	137
10	3978	0	4095	143
10	3991	1918	4095	2047
11	0	0	127	143
11	0	1902	111	2047
11	1915	1886	2071	2047
11	2033	0	2155	146
11	3977	1881	4095	2047
11	3985	0	4095	153
12	0	0	115	127
12	0	1913	109	2047
12	1950	1916	2061	2047
12	2033	0	2163	148
12	3990	0	4095	153
12	4002	1927	4095	2047
13	0	0	118	132
13	0	1905	133	2047
13	2010	1900	2142	2047
13	2035	0	2159	118
13	3989	1911	4095	2047
13	4008	0	4095	144
14	0	0	102	137
14	0	1915	102	2047
14	2009	1904	2131	2047
14	2078	0	2214	150
14	3933	106	4095	161
14	3966	0	4095	131
14	3967	1907	4095	2047
15	0	0	123	142
15	0	1886	130	2047
15	1895	1904	2070	2047
15	1921	0	2054	153
15	3975	1885	4095	2047
15	3992	0	4095	140
16	0	0	116	148
16	0	1908	89	2047
16	1959	1906	2099	2047
16	2015	0	2143	190
16	3964	1903	4095	2047
16	3976	0	4095	134
17	0	0	111	130
17	0	1915	102	2047
17	2019	0	2136	145
17	2047	1912	2167	2047
17	3973	0	4095	137
17	3989	1922	4095	2047
18	0	0	82	123
18	0	1925	97	2047
18	1964	1911	2084	2047
18	2072	0	2206	129
18	3925	0	4095	134
18	3982	1928	4095	2047
19	0	0	118	136
19	0	1910	111	2047
19	1864	1906	1992	2047
19	2032	0	2157	115
19	3945	1895	4095	2047
19	3955	1926	4095	2047
19	3980	0	4095	115
20	0	0	127	147
20	0	1904	116	2047
20	1872	1913	1984	2047
20	1939	0	2076	144
20	3983	1910	4095	2047
20	3976	0	4095	156
21	0	0	109	128
21	0	1921	119	2047
21	1934	1902	2072	2047
21	2058	0	2182	134
21	3980	0	4095	138
21	3987	1923	4095	2047
22	0	0	96	121
22	0	1919	94	2047
22	2063	1923	2174	2047
22	2095	0	2203	100
22	3990	0	4095	127
22	3990	1922	4095	2047
23	0	0	131	151
23	0	1905	137	2047
23	1886	0	2001	152
23	1956	1904	2090	2047
23	3987	0	4095	143
23	4002	1903	4095	2047
24	0	0	93	109
24	0	1901	99	2047
24	1935	0	2047	116
24	2030	1931	2154	2047
24	3981	0	4095	124
24	3993	1937	4095	2047
25	0	0	122	125
25	0	1922	125	2047
25	1835	0	1950	141
25	1850	1918	1982	2047
25	3979	0	4095	130
25	3988	1926	4095	2047
26	0	0	97	139
26	0	1899	102	2047
26	2029	1909	2160	2047
26	2176	0	2290	137
26	3973	1910	4095	2047
26	3980	0	4095	124
27	0	0	121	146
27	0	1917	109	2047
27	1951	1882	2080	2047
27	1980	0	2116	164
27	3980	0	4095	140
27	3984	1912	4095	2047
28	0	0	99	123
28	0	1927	106	2047
28	1951	1897	2097	2047
28	2096	0	2240	147
28	3986	0	4095	130
28	3981	1927	4095	2047
29	0	0	110	142
29	1967	1931	2087	2047
29	2043	0	2173	147
29	3966	0	4095	142
29	3981	1927	4095	2047
29	0	1927	106	2047
30	0	0	117	123
30	0	1927	102	2047
30	1921	0	2035	125
30	1958	1927	2065	2047
30	4009	1916	4095	2047
30	3996	0	4095	124
31	0	0	110	133
31	0	1914	115	2047
31	1946	1918	2072	2047
31	2001	0	2133	130
31	3976	1905	4095	2047
31	3988	0	4095	138
32	0	0	98	132
32	0	1905	108	2047
32	1832	1905	1954	2047
32	2083	0	2194	141
32	3988	1914	4095	2047
32	3998	0	4095	141
33	0	0	97	135
33	0	1918	97	2047
33	1965	1907	2087	2047
33	2045	0	2164	127
33	3979	1916	4095	2047
33	3984	0	4095	135
34	0	0	77	118
34	0	1911	103	2047
34	2014	0	2109	121
34	2040	1926	2132	2047
34	4002	1920	4095	2047
34	4014	0	4095	136
35	0	0	105	137
35	0	1924	122	2047
35	2029	1927	2154	2047
35	2079	0	2194	138
35	3992	0	4095	128
35	3995	1936	4095	2047
36	0	0	117	153
36	0	1914	78	2047
36	2028	0	2158	142
36	2058	1915	2177	2047
36	3986	0	4095	144
36	3968	1908	4095	2047
37	0	0	102	126
37	0	1910	96	2047
37	2130	1895	2252	2047
37	2091	0	2208	125
37	3947	0	4095	145
37	3996	1922	4095	2047
38	0	0	120	139
38	0	1924	120	2047
38	2007	1916	2131	2047
38	2046	0	2177	121
38	3989	1922	4095	2047
38	3990	0	4095	143
39	0	0	118	122
39	0	1908	124	2047
39	1979	1899	2114	2047
39	2035	0	2160	125
39	3950	1881	4095	2047
39	3979	0	4095	125
40	0	0	109	136
40	0	1936	91	2047
40	1965	1926	2103	2047
40	1993	0	2110	131
40	3981	0	4095	124
40	3990	1906	4095	2047
41	0	0	106	150
41	0	1930	103	2047
41	1946	1898	2070	2047
41	2190	0	2304	131
41	3962	1906	4095	2047
41	3992	0	4095	131
42	0	0	90	135
42	0	1906	99	2047
42	1977	0	2096	120
42	1990	1909	2127	2047
42	3961	1909	4095	2047
42	3992	0	4095	146
43	0	0	99	123
43	0	1913	127	2047
43	1973	1916	2099	2047
43	2183	0	2315	116
43	3971	0	4095	138
43	3974	1908	4095	2047
44	0	0	101	174
44	0	1914	91	2047
44	2001	1917	2130	2047
44	2080	0	2204	142
44	3976	0	4095	154
44	3977	1913	4095	2047
45	0	0	110	127
45	0	1922	119	2047
45	1926	0	2053	132
45	1803	1898	2961	2047
45	3978	1895	4095	2047
45	3985	0	4095	127
46	0	0	106	143
